,0
1516,마음
1517,으로
1518,"
"
1519,꺼리다
1520,"
"
1521,꺼리어
1522,"
"
1523,꺼리어
1524,피하
1525,거나
1526,"
"
1527,꺼린다
1528,"
"
1529,꺼림
1530,"
"
1531,꺼림칙하고
1532,"
"
1533,꺼림칙하여
1534,"
"
1535,꺼림칙해
1536,"
"
1537,꺼림칙해
1538,보일
1539,"
"
1540,꼬이거나
1541,"
"
1542,꼬이거나
1543,틀어지다
1544,"
"
1545,꼴사나운
1546,"
"
1547,꼴사납게
1548,"
"
1549,꼴사납게
1550,우는
1551,"
"
1552,꼴사납다
1553,"
"
1554,꽉
1555,막힌
1556,"
"
1557,꾸짖어
1558,혼쭐
1559,을
1560,"
"
1561,꿉신
1562,대다
1563,"
"
1564,끔
1565,살
1566,"
"
1567,끔
1568,직하고
1569,"
"
1570,끔
1571,직하고
1572,절망
1573,적
1574,이다
1575,"
"
1576,끔찍하게
1577,"
"
1578,끔찍하다
1579,"
"
1580,끔찍한
1581,"
"
1582,끔찍한
1583,느낌
1584,"
"
1585,끔찍한
1586,느낌
1587,이
1588,"
"
1589,끔찍함
1590,"
"
1591,끝나는
1592,사랑
1593,"
"
1594,끝내
1595,패가망신
1596,한다는
1597,"
"
1598,끝장
1599,이
1600,나다
1601,"
"
1602,끼치도록
1603,무섭고
1604,"
"
1605,나가자
1606,빠지는
1607,"
"
1608,나가자
1609,빠지는
1610,모양
1611,"
"
1612,나무라며
1613,못마땅하게
1614,"
"
1615,나빠지게
1616,"
"
1617,나빠지게
1618,하다
1619,"
"
1620,나빠지다
1621,"
"
1622,나빠지도록
1623,"
"
1624,나빠진
1625,"
"
1626,나빠진
1627,모양
1628,"
"
1629,나쁘거나
1630,"
"
1631,나쁘거나
1632,궂
1633,게
1634,"
"
1635,나쁘거나
1636,궂다
1637,"
"
1638,나쁘게
1639,"
"
1640,나쁘게
1641,되다
1642,"
"
1643,나쁘게
1644,만들다
1645,"
"
1646,나쁘게
1647,말
1648,하여
1649,"
"
1650,나쁘고
1651,"
"
1652,나쁘다
1653,"
"
1654,나쁜
1655,"
"
1656,나쁜
1657,기운
1658,을
1659,"
"
1660,나쁜
1661,놈
1662,"
"
1663,나쁜
1664,말로
1665,"
"
1666,나쁜
1667,버릇
1668,"
"
1669,나쁜
1670,생각
1671,을
1672,"
"
1673,나쁜
1674,일
1675,"
"
1676,나쁜
1677,일
1678,을
1679,"
"
1680,나쁜
1681,짓
1682,을
1683,"
"
1684,나쁜
1685,징조
1686,의
1687,"
"
1688,나쁜
1689,처지
1690,로
1691,"
"
1692,나쁜
1693,흉
1694,계
1695,"
"
1696,나쁜
1697,놈
1698,"
"
1699,나쁠
1700,"
"
1701,나쁠
1702,정도
1703,로
1704,"
"
1705,나타나는
1706,불쾌한
1707,"
"
1708,나태하다
1709,"
"
1710,나태한
1711,"
"
1712,낙담
1713,"
"
1714,낙담하다
1715,"
"
1716,낙망
1717,"
"
1718,낙망
1719,하다
1720,"
"
1721,낙심
1722,"
"
1723,낙심
1724,되다
1725,"
"
1726,낙심
1727,하다
1728,"
"
1729,난잡
1730,스러운
1731,"
"
1732,난잡
1733,스러운
1734,짓
1735,"
"
1736,난잡하다
1737,"
"
1738,난잡한
1739,"
"
1740,난잡한
1741,상태
1742,가
1743,"
"
1744,난처하거나
